63;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1300,205,14,68;Haller-05_PT04_168 l 2 b 34; ※
64;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1322,205,21,68;Haller-05_PT04_168 l 2 b 35; ※
65;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1358,205,44,68;Haller-05_PT04_168 l 2 b 36; ※
66;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1416,205,44,68;Haller-05_PT04_168 l 2 b 37; ※
67;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1472,205,33,68;Haller-05_PT04_168 l 2 b 38; ※
68;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1517,205,33,68;Haller-05_PT04_168 l 2 b 39; ※
69;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1562,205,31,68;Haller-05_PT04_168 l 2 b 40; ※
70;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1603,205,29,68;Haller-05_PT04_168 l 2 b 41; ※
71;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1644,205,29,68;Haller-05_PT04_168 l 2 b 42; ※
72;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1274,187,0,1;Haller-05_PT04_168 l 3 b 1; ※
73;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=46,101,31,79;Haller-05_PT04_168 l 4 b 1; ※
74;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=88,101,32,79;Haller-05_PT04_168 l 4 b 2; ※
75;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=133,101,30,79;Haller-05_PT04_168 l 4 b 3; ※
76;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=176,101,31,79;Haller-05_PT04_168 l 4 b 4; ※
77;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=220,101,32,79;Haller-05_PT04_168 l 4 b 5; ※
78;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=265,101,31,79;Haller-05_PT04_168 l 4 b 6; ※
79;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=307,101,43,79;Haller-05_PT04_168 l 4 b 7; ※
80;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=364,101,61,79;Haller-05_PT04_168 l 4 b 8; ※
81;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=437,101,31,79;Haller-05_PT04_168 l 4 b 9; ※
82;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=482,101,33,79;Haller-05_PT04_168 l 4 b 10; ※
83;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=529,101,30,79;Haller-05_PT04_168 l 4 b 11; ※
84;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=571,101,29,79;Haller-05_PT04_168 l 4 b 12; ※
85;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=611,101,49,79;Haller-05_PT04_168 l 4 b 13; ※
86;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=675,101,45,79;Haller-05_PT04_168 l 4 b 14; ※
87;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=732,101,52,79;Haller-05_PT04_168 l 4 b 15; ※
88;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=797,101,50,79;Haller-05_PT04_168 l 4 b 16; ※
89;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=861,101,18,79;Haller-05_PT04_168 l 4 b 17; ※
90;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=892,101,18,79;Haller-05_PT04_168 l 4 b 18; ※
91;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=923,101,16,79;Haller-05_PT04_168 l 4 b 19; ※
92;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=949,101,17,79;Haller-05_PT04_168 l 4 b 20; ※
93;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=977,101,30,79;Haller-05_PT04_168 l 4 b 21; ※
94;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1018,101,21,79;Haller-05_PT04_168 l 4 b 22; ※
95;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1048,101,45,79;Haller-05_PT04_168 l 4 b 23; ※
96;file:Haller-05_PT04_168.djvu?djvuopts=&page=1&highlight=1104,101,28,79;Haller-05_PT04_168 l 4 b 24; ※
